1;Hooper;Tom;Angleterre;1972-03-03
2;Copolla;Sofia;Etats-Unis;1971-05-14
3;Penn;Sean;Etats-Unis;1960-08-17
4;Nolan;Christopher;Etats-Unis;1970-07-30
5;Canet;Guillaume;France;1973-04-10
6;Cotillard;Marion;France;1975-09-30
7;Di Caprio;Leonardo;Etats-Unis;1974-11-11
8;Dujardin;Jean;France;1972-06-19
9;Boon;Dany;France;1966-06-26
10;Tautou;Audrey;France;1976-08-09
11;Cornillac;Clovis;France;1967-08-16
12;Pecas;Max;France;1925-04-25
13;Eastwood;Clint;France;1930-05-31
14;Boyle;Danny;Etats-Unis;1956-10-20
15;Depp;Johnny;Etats-Unis;1963-06-09
16;Scorsese;Martin;Etats-Unis;1942-11-17
17;Dupontel;Albert;France;1964-01-11
18;Cassel;Vincent;France;1966-11-23
19;Cassel;Jean-Pierre;France;1932-10-27
20;Copolla;Francis-Ford;Etats-Unis;1939-04-07
21;Seigner;Mathilde;France;1968-01-17
22;Seigner;Emmanuelle;France;1966-06-22
23;Berri;Claude;France;1934-01-12
24;Damiens;Fran‡ois;Belgique;1973-01-17
25;Poelvoorde;Benoit;Belgique;1964-09-22
